url,company,scan_status,track,email,prefecture,final_url,hp_score,recruit_score,ai_score,recommended_campaign,campaign_evidence,enriched_at
"http://ban-kenchikukobo.com/",(株)Ban建築工房,G1_MODERN,skip,"",福岡,"https://ban-kenchikukobo.com/",0,0,0,skip,"track=skip",
"https://fukuoka-e-house.jp/",(株)e-house,G1_MODERN,skip,"",福岡,"https://fukuoka-e-house.jp/",0,0,0,skip,"track=skip",
"http://www.e-m-lumber.com/",(株)E・M・LUMBER,NO_EMAIL,skip,"",神奈川,"https://e-m-lumber.com/",0,0,0,skip,"track=skip",
"https://m-house.jp/",（株）M-HOUSE,G1_WEAK,inside,"info@m-house.jp",神奈川,"https://m-house.jp/assessment/form/",1,4,3,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",2026-08-31T10:48:05
"https://marukan-life.jp/",(株)marukan,NO_EMAIL,skip,"",神奈川,"https://marukan-life.jp/",0,0,0,skip,"track=skip",
"https://www.mp-gr.jp/",(株)MP,G1_WEAK,inside,"info@mp-gr.jp",神奈川,"https://www.mp-gr.jp/",2,4,2,recruit,"採用URL:/recruitment/; 採用キーワード; 工務店・建設",2026-08-31T10:47:27
"https://samepicture.co.jp/",(株)SamePictureCompany,NO_EMAIL,skip,"",神奈川,"https://bldrs.co.jp/",0,0,0,skip,"track=skip",
"https://www.tnp-kyusyu.com/",(株)WELLNEST HOME九州,G1_MODERN,skip,"",福岡,"https://tnp-kyusyu.com/",0,0,0,skip,"track=skip",
"https://architex.co.jp/",(株)アーキテックス,G1_WEAK,inside,"abc@architex.co.jp",福岡,"https://architex.co.jp/contact/",2,4,1,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",2026-08-31T10:47:18
"https://ishome.yokohama/",(株)アイズホーム,G1_MODERN,skip,"",神奈川,"https://ishome.yokohama/",0,0,0,skip,"track=skip",
"http://sekio.cocolog-nifty.com/",(株)あすなろ建築工房,FETCH_FAIL,skip,"",神奈川,"http://sekio.cocolog-nifty.com/",0,0,0,skip,"track=skip",
"http://arqana.jp/",(株)アルカナデザイン,NO_EMAIL,skip,"",福岡,"https://arqana.jp/",0,0,0,skip,"track=skip",
"http://www.al-fine.jp/",(株)アルシスホーム,G1_MODERN,skip,"",福岡,"https://www.al-fine.jp/",0,0,0,skip,"track=skip",
"https://k-ichiken.jp/",（株）イチケン,NO_EMAIL,skip,"",神奈川,"https://k-ichiken.jp/",0,0,0,skip,"track=skip",
"http://www.an-home.jp/",(株)エー・エヌ・ホーム,G1_WEAK,inside,"an@an-home.jp",福岡,"https://an-home.jp/company-profile/company",2,4,3,recruit,"採用URL:/recruit; 採用キーワード; 工務店・建設",2026-08-31T10:46:33
"https://acehome.net/",(株)エースホーム,G1_WEAK,inside,"info@acehome.net",福岡,"https://acehome.net/",2,1,1,skip,"全スコア不足(hp=2,recruit=1,ai=1)",2026-08-31T10:46:47
"http://www.oaks-cnst.com/index.php",(株)オークス建設,NO_EMAIL,skip,"",福岡,"https://oaks-cnst.com/",0,0,0,skip,"track=skip",
"http://www.eco-cure.net/",(株)グリーン企画,G1_MODERN,skip,"",福岡,"https://www.eco-cure.net/",0,0,0,skip,"track=skip",
"http://www.sunken.co.jp/index.html",(株)サン建築工房,G1_MODERN,inside,"info@sunken.co.jp",福岡,"https://www.sunken.co.jp/",0,3,4,ai_ops,"HP整備済(G1_MODERN); FAX表記; 問合せ・見積導線",2026-08-31T10:46:15
